@relation 'all_train-weka.filters.unsupervised.attribute.Remove-R1,502-515,517-519-weka.filters.unsupervised.attribute.Remove-R502-weka.filters.unsupervised.attribute.NumericTransform-R1-500-Cjava.lang.Math-Mlog-weka.filters.unsupervised.attribute.Remove-V-R21,360,4,51,283,461,76,479,201,312,77,343,483,263,485,356,74,398,274,217,214,282,134,286,25,95,90,54,154,73,344,465,222,92,347,207,326,348,315,166,96,131,430,188,329,352,264,17,160,357,501'

@attribute dim21 numeric
@attribute dim360 numeric
@attribute dim4 numeric
@attribute dim51 numeric
@attribute dim283 numeric
@attribute dim461 numeric
@attribute dim76 numeric
@attribute dim479 numeric
@attribute dim201 numeric
@attribute dim312 numeric
@attribute dim77 numeric
@attribute dim343 numeric
@attribute dim483 numeric
@attribute dim263 numeric
@attribute dim485 numeric
@attribute dim356 numeric
@attribute dim74 numeric
@attribute dim398 numeric
@attribute dim274 numeric
@attribute dim217 numeric
@attribute dim214 numeric
@attribute dim282 numeric
@attribute dim134 numeric
@attribute dim286 numeric
@attribute dim25 numeric
@attribute dim95 numeric
@attribute dim90 numeric
@attribute dim54 numeric
@attribute dim154 numeric
@attribute dim73 numeric
@attribute dim344 numeric
@attribute dim465 numeric
@attribute dim222 numeric
@attribute dim92 numeric
@attribute dim347 numeric
@attribute dim207 numeric
@attribute dim326 numeric
@attribute dim348 numeric
@attribute dim315 numeric
@attribute dim166 numeric
@attribute dim96 numeric
@attribute dim131 numeric
@attribute dim430 numeric
@attribute dim188 numeric
@attribute dim329 numeric
@attribute dim352 numeric
@attribute dim264 numeric
@attribute dim17 numeric
@attribute dim160 numeric
@attribute dim357 numeric
@attribute is_person {0,1}

@data
-5.987074,-6.238389,-7.085686,-6.104857,-6.392539,-5.987074,-6.392539,-6.392539,-5.048805,-6.392539,-7.085686,-6.574861,-6.104857,-6.392539,-6.392539,-5.545241,-6.392539,-6.798004,-6.238389,-7.491152,-7.085686,-5.881714,-7.491152,-8.184299,-6.574861,-7.085686,-7.085686,-6.798004,-7.085686,-6.798004,-7.491152,-6.238389,-6.238389,-5.786404,-6.798004,-6.574861,-6.104857,-6.104857,-6.798004,-8.184299,-8.184299,-6.798004,-6.392539,?,-6.574861,-6.392539,-5.41171,-6.574861,-8.184299,-6.574861,1
-6.055896,-5.650431,-5.650431,-6.238389,-6.749044,-5.449838,-7.846803,-5.282838,-4.803255,-5.768321,-5.362963,-6.461148,-5.545241,-5.545241,-5.545241,-5.362963,-6.238389,-5.545241,-5.362963,-6.461148,-6.238389,-5.650431,-5.545241,-6.055896,-5.545241,-6.461148,-6.238389,-5.139776,-5.449838,-5.545241,-5.449838,-5.208659,-7.154935,-5.90199,-5.362963,-6.238389,-7.846803,-6.238389,-6.461148,-7.154935,-5.650431,-5.075174,-5.90199,-7.846803,-5.768321,-5.362963,-7.846803,-6.749044,-7.154935,-5.449838,0
-6.866613,-6.866613,-6.866613,-6.461148,-6.173946,-5.950707,-6.866613,-5.768321,-4.033739,-5.614125,-5.480559,-5.480559,-7.559761,?,-5.768321,-7.559761,?,-7.559761,-7.559761,-5.950707,-5.768321,-7.559761,-7.559761,-6.173946,-6.461148,-7.559761,?,-6.173946,-5.614125,-6.866613,-5.768321,-4.469067,-5.768321,-6.173946,-6.461148,-5.950707,-5.362963,-5.480559,-6.461148,-4.669709,-5.614125,-6.461148,-6.461148,-6.866613,-6.866613,-5.162214,-5.768321,-5.614125,-6.866613,-6.173946,0
-7.20347,-5.817175,-7.896617,-6.798004,-5.41171,-5.257559,-6.798004,-5.594032,-6.798004,-6.287179,-6.287179,-5.257559,-7.20347,-5.063403,-6.510322,-5.594032,-5.331667,-5.594032,-6.104857,-5.950707,-6.104857,-5.594032,-7.20347,-5.817175,-5.594032,-6.287179,-6.510322,-5.594032,-5.594032,-5.817175,-5.699392,-7.896617,-7.896617,-6.104857,-5.817175,-5.594032,-6.104857,-5.331667,-5.817175,-6.287179,-5.188567,-5.498721,-5.950707,-6.104857,-5.41171,-5.817175,-6.510322,-6.798004,-5.188567,-5.817175,1
-6.888934,?,-7.986565,-6.601006,-6.888934,-7.986565,-6.601006,-6.888934,-4.896459,-7.986565,-6.601006,?,-7.986565,-7.986565,-6.888934,-7.986565,?,-7.986565,?,-7.986565,?,-7.986565,?,-6.601006,?,-6.888934,-6.888934,-6.378304,-6.601006,-7.294889,-6.601006,-5.097174,-6.378304,-7.986565,-6.041495,-6.601006,-5.790321,-6.888934,?,-6.378304,-7.986565,-6.195786,?,-6.195786,-6.601006,-6.195786,-5.790321,-6.601006,-6.888934,-5.502639,0
-7.896617,-6.798004,-7.896617,-7.20347,-7.896617,-6.510322,?,-6.798004,-3.419219,-6.798004,?,-7.896617,?,-6.510322,-7.896617,-7.20347,?,?,-7.896617,-7.896617,-7.20347,?,-7.896617,-7.20347,-7.20347,-7.896617,-7.896617,-7.896617,?,-7.896617,-6.798004,-3.430647,-6.798004,?,-7.896617,-7.20347,-7.896617,-6.287179,-7.896617,-3.785699,-7.896617,-6.798004,?,-4.232986,?,?,?,-6.287179,-7.896617,-7.896617,0
-6.601006,?,-7.986565,-7.294889,-6.601006,?,-6.378304,-7.986565,-7.986565,-7.294889,?,-7.294889,?,?,-7.986565,-7.986565,-6.195786,?,?,-7.294889,?,-7.294889,-6.888934,?,?,-7.986565,-6.601006,-6.378304,-6.888934,-7.294889,?,?,-6.888934,?,-6.601006,-7.986565,-6.378304,?,?,-7.986565,-7.294889,-6.601006,-6.195786,-7.294889,-6.378304,-7.294889,-7.294889,-6.601006,-4.768631,-5.790321,1
-7.085686,?,-8.184299,-7.085686,?,?,?,-8.184299,-3.465736,-7.491152,-8.184299,?,-8.184299,?,?,-6.574861,?,?,-6.798004,?,?,-8.184299,?,?,?,-8.184299,-7.491152,?,?,-8.184299,?,-3.684409,-6.574861,-7.491152,?,-7.491152,-8.184299,?,-6.392539,-4.041107,?,?,-7.491152,-4.334075,?,?,-7.491152,?,-6.574861,?,0
-5.908227,-7.294889,-6.888934,-6.888934,-5.684863,-6.378304,-5.908227,-6.378304,-4.273926,-6.041495,-6.378304,-6.601006,-6.195786,-5.908227,-6.378304,-6.195786,-5.790321,-6.378304,-7.986565,-6.378304,-6.195786,-5.790321,-6.195786,?,-5.790321,-6.601006,-6.378304,-7.986565,-7.986565,-5.908227,-6.041495,-4.691709,-6.041495,?,-6.601006,-5.422521,-6.041495,-6.888934,-6.195786,-7.294889,-6.888934,-7.294889,-6.041495,-6.378304,-6.378304,-6.601006,-6.041495,-6.041495,-6.378304,-6.888934,1
-6.378304,-6.601006,-6.378304,-6.195786,-6.601006,-6.378304,-6.378304,-6.888934,-5.279496,-5.214896,-6.195786,-6.601006,-6.601006,-6.601006,-6.378304,-6.041495,-6.195786,-6.378304,-6.041495,-6.601006,-7.986565,-7.294889,-7.294889,-6.601006,-7.986565,-6.378304,-7.986565,-6.601006,-5.790321,-6.041495,-5.58974,-5.58974,-6.041495,-5.908227,-6.888934,-5.790321,-6.601006,-6.888934,-6.378304,?,-5.908227,-5.790321,-6.601006,-6.888934,-6.041495,-6.378304,-7.294889,-6.601006,-5.348559,-6.378304,0
